parameter,value
11101,0.0 + 0.00042994
11102,0.0 - 0.0022954
11103,0.0 + 0.00096353
11104,0.0 + 0.0026447
11105,0.0 + 0.0015955 + 0.00026373 + 0.0018146 + 0.0010814
11106,0.0 - 0.0049712 - 0.0036966 + 0.0024154 - 0.0010263
11107,0.0 - 0.013482 - 0.0053514 - 0.00084287 + 0.0058551
11108,0.0 - 0.010714 - 0.0034936 + 0.0015287 - 0.0051221
11109,0.0 + 0.014032 + 0.0056566 + 0.0011071 + 0.00091473
11110,0.0 + 0.011284 + 0.0033952 - 0.0017586 - 0.0012973
11111,0.0 - 0.0051783 - 0.0028349 - 0.00079877
11112,0.0 - 0.009047 - 0.0043993 + 0.0019611
11113,0.0 + 0.0075356 + 0.0032856 - 0.0043175
11114,0.0 + 0.0063332 + 0.0037633 + 0.0020782
11115,0.0 + 0.0011653
11116,0.0 + 0.0015469
11117,0.0 - 0.0079065
11118,0.0 + 0.0018744
11201,0.0
11202,0.0
11203,0.0
11204,0.0
11205,0.0
11206,0.0
11207,0.0
11208,0.0
11209,0.0
11210,0.0
11211,0.0
11212,0.0
11213,0.0
11214,0.0
11215,0.0
11216,0.0
11217,0.0
11218,0.0
11301,0.0
11302,0.0
11303,0.0
11304,0.0
11305,0.0
11306,0.0
11307,0.0
11308,0.0
11309,0.0
11310,0.0
11311,0.0
11312,0.0
11313,0.0
11314,0.0
11315,0.0
11316,0.0
11317,0.0
11318,0.0
12101,0.0
12102,0.0
12103,0.0
12104,0.0
12105,0.0
12106,0.0
12107,0.0
12108,0.0
12109,0.0
12110,0.0
12111,0.0
12112,0.0
12113,0.0
12114,0.0
12115,0.0
12116,0.0
12117,0.0
12118,0.0
12201,0.0
12202,0.0
12203,0.0
12204,0.0
12205,0.0
12206,0.0
12207,0.0
12208,0.0
12209,0.0
12210,0.0
12211,0.0
12212,0.0
12213,0.0
12214,0.0
12215,0.0
12216,0.0
12217,0.0
12218,0.0
12301,0.0 - 0.00017785
12302,0.0 - 0.00051565
12303,0.0
12304,0.0
12305,0.0 + 1.8823e-05
12306,0.0 + 0.00012575
12307,0.0 + 0.00017194
12308,0.0 - 0.00015431
12309,0.0 + 3.8423e-06
12310,0.0 - 6.6351e-05
12311,0.0 - 0.00011238
12312,0.0 + 0.00014365
12313,0.0 - 4.3402e-05
12314,0.0 - 5.7888e-05
12315,0.0 - 0.00018215
12316,0.0 + 0.00031816
12317,0.0 - 7.3326e-05
12318,0.0 - 0.00012065
21101,0.0 - 0.0022739
21102,0.0 + 0.0034363
21103,0.0 + 0.0006068
21104,0.0 - 0.0019791
21105,0.0 - 0.0086815 - 0.0034712 - 0.0017962 - 0.0015473
21106,0.0 - 0.0008332 + 0.0029825 + 1.0742e-05 + 0.0017462
21107,0.0 + 0.010973 + 0.0016548 + 0.0018934 + 0.0021534
21108,0.0 + 0.016402 + 0.0051815 - 0.0012271 + 0.0034983
21109,0.0 - 0.010235 - 0.00085216 - 0.0013909 + 0.0002076
21110,0.0 - 0.015418 - 0.0054721 + 0.00099182 + 0.0014319
21111,0.0 - 0.0034921 - 0.0011821 - 0.0072309
21112,0.0 - 0.0015337 + 0.0029179 + 0.0027717
21113,0.0 + 0.0087594 + 0.0026158 + 2.4319e-05
21114,0.0 - 0.0017844 - 0.0036201 - 0.0022199
21115,0.0 - 0.010787
21116,0.0 + 0.0052766
21117,0.0 - 0.0034433
21118,0.0 - 0.0022933
21201,0.0
21202,0.0
21203,0.0
21204,0.0
21205,0.0
21206,0.0
21207,0.0
21208,0.0
21209,0.0
21210,0.0
21211,0.0
21212,0.0
21213,0.0
21214,0.0
21215,0.0
21216,0.0
21217,0.0
21218,0.0
21301,0.0
21302,0.0
21303,0.0
21304,0.0
21305,0.0
21306,0.0
21307,0.0
21308,0.0
21309,0.0
21310,0.0
21311,0.0
21312,0.0
21313,0.0
21314,0.0
21315,0.0
21316,0.0
21317,0.0
21318,0.0
22101,0.0
22102,0.0
22103,0.0
22104,0.0
22105,0.0
22106,0.0
22107,0.0
22108,0.0
22109,0.0
22110,0.0
22111,0.0
22112,0.0
22113,0.0
22114,0.0
22115,0.0
22116,0.0
22117,0.0
22118,0.0
22201,0.0
22202,0.0
22203,0.0
22204,0.0
22205,0.0
22206,0.0
22207,0.0
22208,0.0
22209,0.0
22210,0.0
22211,0.0
22212,0.0
22213,0.0
22214,0.0
22215,0.0
22216,0.0
22217,0.0
22218,0.0
22301,0.0 + 0.00019819
22302,0.0 - 0.00011259
22303,0.0
22304,0.0
22305,0.0 - 0.00013327
22306,0.0 - 1.4703e-06
22307,0.0 + 4.192e-05
22308,0.0 + 0.00011647
22309,0.0 + 4.5695e-05
22310,0.0 + 4.3369e-05
22311,0.0 - 0.00014782
22312,0.0 - 2.9613e-06
22313,0.0 + 5.3054e-05
22314,0.0 + 1.0527e-05
22315,0.0 - 0.00044447
22316,0.0 + 8.3535e-05
22317,0.0 + 5.3577e-05
22318,0.0 + 2.7856e-05
13100,0.0
13200,0.0
13300,0.0
23100,0.0
23200,0.0
23300,0.0
