parameter,value
11101,0.0 + -0.002674
11102,0.0 + -0.002992
11103,0.0 + 0.002234
11104,0.0 + 0.005450
11105,0.0 + 0.004985 + 0.002952 + 0.000880
11106,0.0 + 0.001964 + -0.001077 + 0.000294
11107,0.0 + -0.061553 + -0.003519 + -0.000707
11108,0.0 + 0.045459 + -0.000341 + -0.003129
11109,0.0 + 0.068445 + 0.002110 + 0.004191
11110,0.0 + -0.050798 + 0.001291 + -0.005603
11111,0.0 + -0.039347
11112,0.0 + 0.029229
11113,0.0 + 0.042370
11114,0.0 + -0.033294
11115,0.0 + 0.007711
11116,0.0 + -0.002611
11117,0.0 + -0.005357
11118,0.0 + 0.003085
11201,0.0
11202,0.0
11203,0.0
11204,0.0
11205,0.0
11206,0.0
11207,0.0
11208,0.0
11209,0.0
11210,0.0
11211,0.0
11212,0.0
11213,0.0
11214,0.0
11215,0.0
11216,0.0
11217,0.0
11218,0.0
11301,0.0
11302,0.0
11303,0.0
11304,0.0
11305,0.0
11306,0.0
11307,0.0
11308,0.0
11309,0.0
11310,0.0
11311,0.0
11312,0.0
11313,0.0
11314,0.0
11315,0.0
11316,0.0
11317,0.0
11318,0.0
12101,0.0
12102,0.0
12103,0.0
12104,0.0
12105,0.0
12106,0.0
12107,0.0
12108,0.0
12109,0.0
12110,0.0
12111,0.0
12112,0.0
12113,0.0
12114,0.0
12115,0.0
12116,0.0
12117,0.0
12118,0.0
12201,0.0
12202,0.0
12203,0.0
12204,0.0
12205,0.0
12206,0.0
12207,0.0
12208,0.0
12209,0.0
12210,0.0
12211,0.0
12212,0.0
12213,0.0
12214,0.0
12215,0.0
12216,0.0
12217,0.0
12218,0.0
12301,0.0
12302,0.0
12303,0.0
12304,0.0
12305,0.0 - 0.000025 - 0.000056
12306,0.0 - -0.000139 - 0.000035
12307,0.0 - -0.000084 - 0.000013
12308,0.0 - 0.000066 - 0.000080
12309,0.0 - -0.000041 - -0.000102
12310,0.0 - 0.000116 - 0.000167
12311,0.0
12312,0.0
12313,0.0
12314,0.0
12315,0.0
12316,0.0
12317,0.0
12318,0.0
21101,0.0 + -0.001528
21102,0.0 + 0.005188
21103,0.0 + -0.006890
21104,0.0 + -0.002296
21105,0.0 + -0.035682 + -0.004767 + -0.001927
21106,0.0 + 0.012519 + 0.001406 + -0.000082
21107,0.0 + 0.008729 + 0.005390 + 0.004936
21108,0.0 + 0.002665 + 0.001729 + 0.002079
21109,0.0 + -0.011812 + -0.004302 + -0.000752
21110,0.0 + 0.001441 + -0.001231 + -0.000326
21111,0.0 + -0.020524
21112,0.0 + 0.006178
21113,0.0 + 0.018966
21114,0.0 + -0.003756
21115,0.0 + 0.000562
21116,0.0 + -0.001628
21117,0.0 + -0.004424
21118,0.0 + 0.004329
21201,0.0
21202,0.0
21203,0.0
21204,0.0
21205,0.0
21206,0.0
21207,0.0
21208,0.0
21209,0.0
21210,0.0
21211,0.0
21212,0.0
21213,0.0
21214,0.0
21215,0.0
21216,0.0
21217,0.0
21218,0.0
21301,0.0
21302,0.0
21303,0.0
21304,0.0
21305,0.0
21306,0.0
21307,0.0
21308,0.0
21309,0.0
21310,0.0
21311,0.0
21312,0.0
21313,0.0
21314,0.0
21315,0.0
21316,0.0
21317,0.0
21318,0.0
22101,0.0
22102,0.0
22103,0.0
22104,0.0
22105,0.0
22106,0.0
22107,0.0
22108,0.0
22109,0.0
22110,0.0
22111,0.0
22112,0.0
22113,0.0
22114,0.0
22115,0.0
22116,0.0
22117,0.0
22118,0.0
22201,0.0
22202,0.0
22203,0.0
22204,0.0
22205,0.0
22206,0.0
22207,0.0
22208,0.0
22209,0.0
22210,0.0
22211,0.0
22212,0.0
22213,0.0
22214,0.0
22215,0.0
22216,0.0
22217,0.0
22218,0.0
22301,0.0
22302,0.0
22303,0.0
22304,0.0
22305,0.0 - 0.000098 - -0.000070
22306,0.0 - 0.000159 - -0.000025
22307,0.0 - 0.000080 - -0.000138
22308,0.0 - -0.000016 - -0.000031
22309,0.0 - -0.000025 - 0.000023
22310,0.0 - -0.000087 - -0.000012
22311,0.0
22312,0.0
22313,0.0
22314,0.0
22315,0.0
22316,0.0
22317,0.0
22318,0.0
13100,0.0002
13200,0.0
13300,-0.001
23100,-0.00026
23200,0.0
23300,0.0
