id,collection_id,parameter,value
3240 ,          2982 ,     11101 ,    0.046032
3241 ,          2982 ,     11102 ,   -0.112986
3242 ,          2982 ,     11103 ,    0.053278
3243 ,          2982 ,     11104 ,   -0.103415
3244 ,          2982 ,     11105 ,    0.051757
3245 ,          2982 ,     11106 ,    -0.10272
3246 ,          2982 ,     11107 ,   -0.006968
3247 ,          2982 ,     11108 ,  -0.0226763
3248 ,          2982 ,     11109 ,    0.043124
3249 ,          2982 ,     11110 ,  -0.0154317
3250 ,          2982 ,     11111 ,    0.017256
3251 ,          2982 ,     11112 ,  -0.0526653
3252 ,          2982 ,     11113 ,    0.006569
3253 ,          2982 ,     11114 ,   0.0266563
3254 ,          2982 ,     11115 ,    0.042534
3255 ,          2982 ,     11116 ,  -0.0749313
3256 ,          2982 ,     11117 ,   -0.081695
3257 ,          2982 ,     11118 ,    0.118147
3258 ,          2982 ,     11201 ,           0
3259 ,          2982 ,     11202 ,           0
3260 ,          2982 ,     11203 ,           0
3261 ,          2982 ,     11204 ,           0
3262 ,          2982 ,     11205 ,           0
3263 ,          2982 ,     11206 ,           0
3264 ,          2982 ,     11207 ,           0
3265 ,          2982 ,     11208 ,           0
3266 ,          2982 ,     11209 ,           0
3267 ,          2982 ,     11210 ,           0
3268 ,          2982 ,     11211 ,           0
3269 ,          2982 ,     11212 ,           0
3270 ,          2982 ,     11213 ,           0
3271 ,          2982 ,     11214 ,           0
3272 ,          2982 ,     11215 ,           0
3273 ,          2982 ,     11216 ,           0
3274 ,          2982 ,     11217 ,           0
3275 ,          2982 ,     11218 ,           0
3276 ,          2982 ,     11301 ,           0
3277 ,          2982 ,     11302 ,           0
3278 ,          2982 ,     11303 ,           0
3279 ,          2982 ,     11304 ,           0
3280 ,          2982 ,     11305 ,     0.25424
3281 ,          2982 ,     11306 ,    -0.16207
3282 ,          2982 ,     11307 ,    -0.27427
3283 ,          2982 ,     11308 ,    -0.31714
3284 ,          2982 ,     11309 ,     0.10205
3285 ,          2982 ,     11310 ,    -0.58366
3286 ,          2982 ,     11311 ,    -0.30482
3287 ,          2982 ,     11312 ,    0.008109
3288 ,          2982 ,     11313 ,     0.61233
3289 ,          2982 ,     11314 ,    -0.84068
3290 ,          2982 ,     11315 ,           0
3291 ,          2982 ,     11316 ,           0
3292 ,          2982 ,     11317 ,           0
3293 ,          2982 ,     11318 ,           0
3294 ,          2982 ,     12101 ,           0
3295 ,          2982 ,     12102 ,           0
3296 ,          2982 ,     12103 ,           0
3297 ,          2982 ,     12104 ,           0
3298 ,          2982 ,     12105 ,   -0.005707
3299 ,          2982 ,     12106 ,    0.004526
3300 ,          2982 ,     12107 ,    0.000452
3301 ,          2982 ,     12108 ,   -0.003808
3302 ,          2982 ,     12109 ,   -0.004128
3303 ,          2982 ,     12110 ,   -0.001086
3304 ,          2982 ,     12111 ,   -0.001618
3305 ,          2982 ,     12112 ,   -0.001699
3306 ,          2982 ,     12113 ,    -0.01425
3307 ,          2982 ,     12114 ,    0.011916
3308 ,          2982 ,     12115 ,           0
3309 ,          2982 ,     12116 ,           0
3310 ,          2982 ,     12117 ,           0
3311 ,          2982 ,     12118 ,           0
3312 ,          2982 ,     12201 ,           0
3313 ,          2982 ,     12202 ,           0
3314 ,          2982 ,     12203 ,           0
3315 ,          2982 ,     12204 ,           0
3316 ,          2982 ,     12205 ,    0.001723
3317 ,          2982 ,     12206 ,   -0.001714
3318 ,          2982 ,     12207 ,    0.006268
3319 ,          2982 ,     12208 ,     0.00426
3320 ,          2982 ,     12209 ,   -0.014084
3321 ,          2982 ,     12210 ,   -0.011483
3322 ,          2982 ,     12211 ,    0.005937
3323 ,          2982 ,     12212 ,    0.006587
3324 ,          2982 ,     12213 ,   -0.017376
3325 ,          2982 ,     12214 ,   -0.016945
3326 ,          2982 ,     12215 ,           0
3327 ,          2982 ,     12216 ,           0
3328 ,          2982 ,     12217 ,           0
3329 ,          2982 ,     12218 ,           0
3330 ,          2982 ,     12301 ,           0
3331 ,          2982 ,     12302 ,           0
