MilleParameter                              Sensor          half   trans./rot.     Direction   MP layer ID
         21199         module_L0b_halfmodule_axial             2             1             1             99
         21299         module_L0b_halfmodule_axial             2             1             2             99
         21399         module_L0b_halfmodule_axial             2             1             3             99
         22199         module_L0b_halfmodule_axial             2             2             1             99
         22299         module_L0b_halfmodule_axial             2             2             2             99
         22399         module_L0b_halfmodule_axial             2             2             3             99
         21198        module_L0b_halfmodule_stereo             2             1             1             98
         21298        module_L0b_halfmodule_stereo             2             1             2             98
         21398        module_L0b_halfmodule_stereo             2             1             3             98
         22198        module_L0b_halfmodule_stereo             2             2             1             98
         22298        module_L0b_halfmodule_stereo             2             2             2             98
         22398        module_L0b_halfmodule_stereo             2             2             3             98
         11199         module_L0t_halfmodule_axial             1             1             1             99
         11299         module_L0t_halfmodule_axial             1             1             2             99
         11399         module_L0t_halfmodule_axial             1             1             3             99
         12199         module_L0t_halfmodule_axial             1             2             1             99
         12299         module_L0t_halfmodule_axial             1             2             2             99
         12399         module_L0t_halfmodule_axial             1             2             3             99
         11198        module_L0t_halfmodule_stereo             1             1             1             98
         11298        module_L0t_halfmodule_stereo             1             1             2             98
         11398        module_L0t_halfmodule_stereo             1             1             3             98
         12198        module_L0t_halfmodule_stereo             1             2             1             98
         12298        module_L0t_halfmodule_stereo             1             2             2             98
         12398        module_L0t_halfmodule_stereo             1             2             3             98
         21102         module_L1b_halfmodule_axial             2             1             1             2
         21202         module_L1b_halfmodule_axial             2             1             2             2
         21302         module_L1b_halfmodule_axial             2             1             3             2
         22102         module_L1b_halfmodule_axial             2             2             1             2
         22202         module_L1b_halfmodule_axial             2             2             2             2
         22302         module_L1b_halfmodule_axial             2             2             3             2
         21101        module_L1b_halfmodule_stereo             2             1             1             1
         21201        module_L1b_halfmodule_stereo             2             1             2             1
         21301        module_L1b_halfmodule_stereo             2             1             3             1
         22101        module_L1b_halfmodule_stereo             2             2             1             1
         22201        module_L1b_halfmodule_stereo             2             2             2             1
         22301        module_L1b_halfmodule_stereo             2             2             3             1
         11101         module_L1t_halfmodule_axial             1             1             1             1
         11201         module_L1t_halfmodule_axial             1             1             2             1
         11301         module_L1t_halfmodule_axial             1             1             3             1
         12101         module_L1t_halfmodule_axial             1             2             1             1
         12201         module_L1t_halfmodule_axial             1             2             2             1
         12301         module_L1t_halfmodule_axial             1             2             3             1
         11102        module_L1t_halfmodule_stereo             1             1             1             2
         11202        module_L1t_halfmodule_stereo             1             1             2             2
         11302        module_L1t_halfmodule_stereo             1             1             3             2
         12102        module_L1t_halfmodule_stereo             1             2             1             2
         12202        module_L1t_halfmodule_stereo             1             2             2             2
         12302        module_L1t_halfmodule_stereo             1             2             3             2
         21104         module_L2b_halfmodule_axial             2             1             1             4
         21204         module_L2b_halfmodule_axial             2             1             2             4
         21304         module_L2b_halfmodule_axial             2             1             3             4
         22104         module_L2b_halfmodule_axial             2             2             1             4
         22204         module_L2b_halfmodule_axial             2             2             2             4
         22304         module_L2b_halfmodule_axial             2             2             3             4
         21103        module_L2b_halfmodule_stereo             2             1             1             3
         21203        module_L2b_halfmodule_stereo             2             1             2             3
         21303        module_L2b_halfmodule_stereo             2             1             3             3
         22103        module_L2b_halfmodule_stereo             2             2             1             3
         22203        module_L2b_halfmodule_stereo             2             2             2             3
         22303        module_L2b_halfmodule_stereo             2             2             3             3
         11103         module_L2t_halfmodule_axial             1             1             1             3
         11203         module_L2t_halfmodule_axial             1             1             2             3
         11303         module_L2t_halfmodule_axial             1             1             3             3
         12103         module_L2t_halfmodule_axial             1             2             1             3
         12203         module_L2t_halfmodule_axial             1             2             2             3
         12303         module_L2t_halfmodule_axial             1             2             3             3
         11104        module_L2t_halfmodule_stereo             1             1             1             4
         11204        module_L2t_halfmodule_stereo             1             1             2             4
         11304        module_L2t_halfmodule_stereo             1             1             3             4
         12104        module_L2t_halfmodule_stereo             1             2             1             4
         12204        module_L2t_halfmodule_stereo             1             2             2             4
         12304        module_L2t_halfmodule_stereo             1             2             3             4
         21106         module_L3b_halfmodule_axial             2             1             1             6
         21206         module_L3b_halfmodule_axial             2             1             2             6
         21306         module_L3b_halfmodule_axial             2             1             3             6
         22106         module_L3b_halfmodule_axial             2             2             1             6
         22206         module_L3b_halfmodule_axial             2             2             2             6
         22306         module_L3b_halfmodule_axial             2             2             3             6
         21105        module_L3b_halfmodule_stereo             2             1             1             5
         21205        module_L3b_halfmodule_stereo             2             1             2             5
         21305        module_L3b_halfmodule_stereo             2             1             3             5
         22105        module_L3b_halfmodule_stereo             2             2             1             5
         22205        module_L3b_halfmodule_stereo             2             2             2             5
         22305        module_L3b_halfmodule_stereo             2             2             3             5
         11105         module_L3t_halfmodule_axial             1             1             1             5
         11205         module_L3t_halfmodule_axial             1             1             2             5
