mchi,rdmchi,rmap,chi2_width_per_epsilon
10.0,0.4,2.0,1.5878e-11
10.0,0.4,2.5,6.4446e-12
10.0,0.4,3.0,3.0895999999999997e-12
10.0,0.5,2.0,4.7965999999999995e-11
10.0,0.5,2.5,1.9333e-11
10.0,0.5,3.0,9.2622e-12
10.0,0.6,2.0,1.1433e-10
10.0,0.6,2.5,4.5726e-11
10.0,0.6,3.0,2.1805999999999998e-11
15.0,0.4,2.0,2.7164999999999997e-11
15.0,0.4,2.5,1.1037e-11
15.0,0.4,3.0,5.282499999999999e-12
15.0,0.5,2.0,7.8024e-11
15.0,0.5,2.5,3.1448999999999997e-11
15.0,0.5,3.0,1.5059e-11
15.0,0.6,2.0,1.8103999999999998e-10
15.0,0.6,2.5,7.264600000000001e-11
15.0,0.6,3.0,3.4633e-11
20.0,0.4,2.0,3.7900999999999995e-11
20.0,0.4,2.5,1.534e-11
20.0,0.4,3.0,7.377599999999999e-12
20.0,0.5,2.0,1.0696999999999999e-10
20.0,0.5,2.5,4.3089999999999997e-11
20.0,0.5,3.0,2.0675000000000002e-11
20.0,0.6,2.0,2.4625e-10
20.0,0.6,2.5,9.8828e-11
20.0,0.6,3.0,4.7113999999999995e-11
25.0,0.4,2.0,4.8334e-11
25.0,0.4,2.5,1.9633e-11
25.0,0.4,3.0,9.433999999999999e-12
25.0,0.5,2.0,1.3537e-10
25.0,0.5,2.5,5.4626e-11
25.0,0.5,3.0,2.6209e-11
25.0,0.6,2.0,3.1015999999999994e-10
25.0,0.6,2.5,1.2455e-10
25.0,0.6,3.0,5.9474e-11
30.0,0.4,2.0,5.8576e-11
30.0,0.4,2.5,2.3718e-11
30.0,0.4,3.0,1.1429e-11
30.0,0.5,2.0,1.6377999999999998e-10
30.0,0.5,2.5,6.6204e-11
30.0,0.5,3.0,3.1682e-11
30.0,0.6,2.0,3.7463999999999996e-10
30.0,0.6,2.5,1.5018e-10
30.0,0.6,3.0,7.171500000000001e-11
35.0,0.4,2.0,6.9009e-11
35.0,0.4,2.5,2.8027999999999998e-11
35.0,0.4,3.0,1.3460999999999998e-11
35.0,0.5,2.0,1.9209e-10
35.0,0.5,2.5,7.7508e-11
35.0,0.5,3.0,3.7066e-11
35.0,0.6,2.0,4.3783e-10
35.0,0.6,2.5,1.7541e-10
35.0,0.6,3.0,8.3875e-11
40.0,0.4,2.0,7.9399e-11
40.0,0.4,2.5,3.215e-11
40.0,0.4,3.0,1.5410999999999997e-11
40.0,0.5,2.0,2.1956e-10
40.0,0.5,2.5,8.8907e-11
40.0,0.5,3.0,4.2591e-11
40.0,0.6,2.0,5.0151e-10
40.0,0.6,2.5,2.0193e-10
40.0,0.6,3.0,9.5919e-11
45.0,0.4,2.0,8.939499999999999e-11
45.0,0.4,2.5,3.6094e-11
45.0,0.4,3.0,1.7383e-11
45.0,0.5,2.0,2.4739e-10
45.0,0.5,2.5,9.9965e-11
45.0,0.5,3.0,4.7943e-11
45.0,0.6,2.0,5.6542e-10
45.0,0.6,2.5,2.2666999999999998e-10
45.0,0.6,3.0,1.0845e-10
50.0,0.4,2.0,9.967999999999999e-11
50.0,0.4,2.5,4.046499999999999e-11
50.0,0.4,3.0,1.938e-11
50.0,0.5,2.0,2.7629e-10
50.0,0.5,2.5,1.1157999999999999e-10
50.0,0.5,3.0,5.3364999999999995e-11
50.0,0.6,2.0,6.2818e-10
50.0,0.6,2.5,2.5289e-10
50.0,0.6,3.0,1.2038999999999998e-10
55.0,0.4,2.0,1.0985e-10
55.0,0.4,2.5,4.4474999999999994e-11
55.0,0.4,3.0,2.1364e-11
55.0,0.5,2.0,3.0353e-10
55.0,0.5,2.5,1.2264e-10
55.0,0.5,3.0,5.871799999999999e-11
55.0,0.6,2.0,6.906799999999999e-10
55.0,0.6,2.5,2.7752e-10
55.0,0.6,3.0,1.3242e-10
60.0,0.4,2.0,1.1986e-10
60.0,0.4,2.5,4.8612e-11
60.0,0.4,3.0,2.334e-11
60.0,0.5,2.0,3.3253e-10
60.0,0.5,2.5,1.3425e-10
60.0,0.5,3.0,6.4195e-11
60.0,0.6,2.0,7.554399999999999e-10
60.0,0.6,2.5,3.0372999999999994e-10
60.0,0.6,3.0,1.4434e-10
65.0,0.4,2.0,1.296e-10
65.0,0.4,2.5,5.2729e-11
65.0,0.4,3.0,2.5295999999999997e-11
65.0,0.5,2.0,3.5857999999999997e-10
65.0,0.5,2.5,1.4531999999999997e-10
65.0,0.5,3.0,6.963499999999999e-11
65.0,0.6,2.0,8.1886e-10
65.0,0.6,2.5,3.2804e-10
65.0,0.6,3.0,1.5612999999999998e-10
70.0,0.4,2.0,1.3979e-10
70.0,0.4,2.5,5.6817e-11
70.0,0.4,3.0,2.7306999999999997e-11
70.0,0.5,2.0,3.8642e-10
70.0,0.5,2.5,1.5627999999999998e-10
70.0,0.5,3.0,7.4833e-11
70.0,0.6,2.0,8.8409e-10
70.0,0.6,2.5,3.5387e-10
70.0,0.6,3.0,1.689e-10
75.0,0.4,2.0,1.4974e-10
75.0,0.4,2.5,6.0869e-11
75.0,0.4,3.0,2.9197999999999996e-11
75.0,0.5,2.0,4.1482e-10
75.0,0.5,2.5,1.6804e-10
75.0,0.5,3.0,8.014699999999999e-11
75.0,0.6,2.0,9.4544e-10
75.0,0.6,2.5,3.7903e-10
75.0,0.6,3.0,1.8079999999999999e-10
80.0,0.4,2.0,1.602e-10
80.0,0.4,2.5,6.4912e-11
80.0,0.4,3.0,3.1225999999999996e-11
80.0,0.5,2.0,4.4318999999999995e-10
80.0,0.5,2.5,1.7855e-10
80.0,0.5,3.0,8.5807e-11
80.0,0.6,2.0,1.0065e-09
80.0,0.6,2.5,4.0425999999999996e-10
80.0,0.6,3.0,1.9321e-10
85.0,0.4,2.0,1.7005999999999998e-10
85.0,0.4,2.5,6.9062e-11
85.0,0.4,3.0,3.3173999999999996e-11
85.0,0.5,2.0,4.700499999999999e-10
85.0,0.5,2.5,1.9007e-10
85.0,0.5,3.0,9.104800000000001e-11
85.0,0.6,2.0,1.0732e-09
85.0,0.6,2.5,4.2969e-10
85.0,0.6,3.0,2.0484e-10
90.0,0.4,2.0,1.8050999999999998e-10
90.0,0.4,2.5,7.3065e-11
90.0,0.4,3.0,3.5119e-11
90.0,0.5,2.0,4.9696e-10
90.0,0.5,2.5,2.005e-10
90.0,0.5,3.0,9.647599999999999e-11
90.0,0.6,2.0,1.1338e-09
90.0,0.6,2.5,4.5555e-10
90.0,0.6,3.0,2.1749999999999997e-10
95.0,0.4,2.0,1.9030999999999999e-10
95.0,0.4,2.5,7.7332e-11
95.0,0.4,3.0,3.7018999999999996e-11
95.0,0.5,2.0,5.2515e-10
95.0,0.5,2.5,2.1257e-10
95.0,0.5,3.0,1.0186999999999999e-10
95.0,0.6,2.0,1.2002999999999999e-09
95.0,0.6,2.5,4.7901e-10
95.0,0.6,3.0,2.287e-10
100.0,0.4,2.0,2.0109999999999998e-10
100.0,0.4,2.5,8.1381e-11
100.0,0.4,3.0,3.898999999999999e-11
100.0,0.5,2.0,5.5264e-10
100.0,0.5,2.5,2.2385e-10
100.0,0.5,3.0,1.0708e-10
100.0,0.6,2.0,1.2580999999999998e-09
100.0,0.6,2.5,5.0687e-10
100.0,0.6,3.0,2.4173e-10
105.0,0.4,2.0,2.1018999999999997e-10
105.0,0.4,2.5,8.5448e-11
105.0,0.4,3.0,4.0996e-11
105.0,0.5,2.0,5.8266e-10
105.0,0.5,2.5,2.3557e-10
105.0,0.5,3.0,1.1244e-10
105.0,0.6,2.0,1.3248999999999998e-09
105.0,0.6,2.5,5.3101e-10
105.0,0.6,3.0,2.5286e-10
110.0,0.4,2.0,2.2017e-10
110.0,0.4,2.5,8.9658e-11
110.0,0.4,3.0,4.2939999999999996e-11
110.0,0.5,2.0,6.0864e-10
110.0,0.5,2.5,2.4561e-10
110.0,0.5,3.0,1.1767e-10
110.0,0.6,2.0,1.3858e-09
110.0,0.6,2.5,5.560699999999999e-10
110.0,0.6,3.0,2.6595e-10
115.0,0.4,2.0,2.3071999999999998e-10
115.0,0.4,2.5,9.340399999999999e-11
115.0,0.4,3.0,4.5002e-11
115.0,0.5,2.0,6.370799999999999e-10
115.0,0.5,2.5,2.5682e-10
115.0,0.5,3.0,1.2327e-10
115.0,0.6,2.0,1.4527999999999998e-09
115.0,0.6,2.5,5.8216e-10
115.0,0.6,3.0,2.7718e-10
120.0,0.4,2.0,2.4045999999999996e-10
120.0,0.4,2.5,9.776699999999999e-11
120.0,0.4,3.0,4.678e-11
120.0,0.5,2.0,6.643899999999999e-10
120.0,0.5,2.5,2.6795999999999997e-10
120.0,0.5,3.0,1.2851e-10
120.0,0.6,2.0,1.5163e-09
120.0,0.6,2.5,6.0688e-10
120.0,0.6,3.0,2.8995999999999995e-10
125.0,0.4,2.0,2.5036e-10
125.0,0.4,2.5,1.0195999999999999e-10
125.0,0.4,3.0,4.8912999999999996e-11
125.0,0.5,2.0,6.943e-10
125.0,0.5,2.5,2.7916e-10
125.0,0.5,3.0,1.3383e-10
125.0,0.6,2.0,1.5708e-09
125.0,0.6,2.5,6.329099999999999e-10
125.0,0.6,3.0,3.0191e-10
130.0,0.4,2.0,2.6168e-10
130.0,0.4,2.5,1.0620999999999999e-10
130.0,0.4,3.0,5.0747e-11
130.0,0.5,2.0,7.200999999999999e-10
130.0,0.5,2.5,2.907e-10
130.0,0.5,3.0,1.3924e-10
130.0,0.6,2.0,1.6375e-09
130.0,0.6,2.5,6.5801e-10
130.0,0.6,3.0,3.1398999999999997e-10
