mchi,rdmchi,rmap,chi2_width_per_epsilon
20.0,0.4,2.4,1.8124e-11
20.0,0.4,2.5,1.5378e-11
20.0,0.4,2.6,1.3151e-11
20.0,0.4,3.0,7.39e-12
20.0,0.5,2.4,5.0847e-11
20.0,0.5,2.5,4.3246e-11
20.0,0.5,2.6,3.6874e-11
20.0,0.5,3.0,2.0675999999999998e-11
20.0,0.6,2.4,1.1646e-10
20.0,0.6,2.5,9.867099999999999e-11
20.0,0.6,2.6,8.4077e-11
20.0,0.6,3.0,4.7166e-11
25.0,0.4,2.4,2.3168999999999997e-11
25.0,0.4,2.5,1.964e-11
25.0,0.4,2.6,1.6803e-11
25.0,0.4,3.0,9.4341e-12
25.0,0.5,2.4,6.464999999999999e-11
25.0,0.5,2.5,5.4744e-11
25.0,0.5,2.6,4.6715000000000004e-11
25.0,0.5,3.0,2.6215e-11
25.0,0.6,2.4,1.4710000000000001e-10
25.0,0.6,2.5,1.2446e-10
25.0,0.6,2.6,1.0602e-10
25.0,0.6,3.0,5.9453e-11
30.0,0.4,2.4,2.8062999999999998e-11
30.0,0.4,2.5,2.3846999999999997e-11
30.0,0.4,2.6,2.0341e-11
30.0,0.4,3.0,1.1437e-11
30.0,0.5,2.4,7.7911e-11
30.0,0.5,2.5,6.6194e-11
30.0,0.5,2.6,5.6531999999999995e-11
30.0,0.5,3.0,3.1643e-11
30.0,0.6,2.4,1.7762e-10
30.0,0.6,2.5,1.501e-10
30.0,0.6,2.6,1.2816e-10
30.0,0.6,3.0,7.1711e-11
35.0,0.4,2.4,3.2969e-11
35.0,0.4,2.5,2.8056999999999998e-11
35.0,0.4,2.6,2.3903999999999998e-11
35.0,0.4,3.0,1.3405e-11
35.0,0.5,2.4,9.138299999999999e-11
35.0,0.5,2.5,7.7483e-11
35.0,0.5,2.6,6.6138e-11
35.0,0.5,3.0,3.7111e-11
35.0,0.6,2.4,2.0764e-10
35.0,0.6,2.5,1.7566999999999997e-10
35.0,0.6,2.6,1.4987000000000002e-10
35.0,0.6,3.0,8.385799999999999e-11
40.0,0.4,2.4,3.786e-11
40.0,0.4,2.5,3.2121e-11
40.0,0.4,2.6,2.7461e-11
40.0,0.4,3.0,1.5444999999999998e-11
40.0,0.5,2.4,1.0487999999999999e-10
40.0,0.5,2.5,8.8814e-11
40.0,0.5,2.6,7.6002e-11
40.0,0.5,3.0,4.249e-11
40.0,0.6,2.4,2.3793e-10
40.0,0.6,2.5,2.0128999999999998e-10
40.0,0.6,2.6,1.7181999999999998e-10
40.0,0.6,3.0,9.5938e-11
45.0,0.4,2.4,4.2803e-11
45.0,0.4,2.5,3.6297999999999996e-11
45.0,0.4,2.6,3.1037e-11
45.0,0.4,3.0,1.7421999999999997e-11
45.0,0.5,2.4,1.1795e-10
45.0,0.5,2.5,1.0006e-10
45.0,0.5,2.6,8.5525e-11
45.0,0.5,3.0,4.7977e-11
45.0,0.6,2.4,2.6792e-10
45.0,0.6,2.5,2.2651999999999998e-10
45.0,0.6,2.6,1.9347e-10
45.0,0.6,3.0,1.0808e-10
50.0,0.4,2.4,4.7648999999999996e-11
50.0,0.4,2.5,4.0420999999999997e-11
50.0,0.4,2.6,3.4421e-11
50.0,0.4,3.0,1.9367e-11
50.0,0.5,2.4,1.3139e-10
50.0,0.5,2.5,1.1143999999999999e-10
50.0,0.5,2.6,9.4903e-11
50.0,0.5,3.0,5.3501e-11
50.0,0.6,2.4,2.9848999999999997e-10
50.0,0.6,2.5,2.5239e-10
50.0,0.6,2.6,2.1515e-10
50.0,0.6,3.0,1.2097e-10
