mchi,rdmchi,rmap,chi2_width_per_epsilon
30.0,0.4,2.0,5.8701e-11
30.0,0.4,2.5,2.3819999999999998e-11
30.0,0.4,3.0,1.144e-11
30.0,0.5,2.0,1.637e-10
30.0,0.5,2.5,6.6091e-11
30.0,0.5,3.0,3.1721e-11
30.0,0.6,2.0,3.745e-10
30.0,0.6,2.5,1.503e-10
30.0,0.6,3.0,7.1739e-11
50.0,0.4,2.0,9.932199999999999e-11
50.0,0.4,2.5,4.0404e-11
50.0,0.4,3.0,1.9421e-11
50.0,0.5,2.0,2.7591999999999996e-10
50.0,0.5,2.5,1.1176e-10
50.0,0.5,3.0,5.3295e-11
50.0,0.6,2.0,6.303e-10
50.0,0.6,2.5,2.5189e-10
50.0,0.6,3.0,1.2e-10
70.0,0.4,2.0,1.4005e-10
70.0,0.4,2.5,5.6658e-11
70.0,0.4,3.0,2.7196999999999997e-11
70.0,0.5,2.0,3.8760999999999997e-10
70.0,0.5,2.5,1.5628999999999998e-10
70.0,0.5,3.0,7.4904e-11
70.0,0.6,2.0,8.825399999999999e-10
70.0,0.6,2.5,3.5382999999999996e-10
70.0,0.6,3.0,1.6873e-10
90.0,0.4,2.0,1.7994e-10
90.0,0.4,2.5,7.304899999999999e-11
90.0,0.4,3.0,3.515e-11
90.0,0.5,2.0,4.9883e-10
90.0,0.5,2.5,2.0125999999999999e-10
90.0,0.5,3.0,9.607699999999999e-11
90.0,0.6,2.0,1.1327999999999999e-09
90.0,0.6,2.5,4.5519999999999994e-10
90.0,0.6,3.0,2.177e-10
110.0,0.4,2.0,2.2051e-10
110.0,0.4,2.5,8.9212e-11
110.0,0.4,3.0,4.3006999999999996e-11
110.0,0.5,2.0,6.0974e-10
110.0,0.5,2.5,2.4670999999999997e-10
110.0,0.5,3.0,1.1798e-10
110.0,0.6,2.0,1.3879e-09
110.0,0.6,2.5,5.5729e-10
110.0,0.6,3.0,2.6525e-10
130.0,0.4,2.0,2.6032999999999997e-10
130.0,0.4,2.5,1.0572e-10
130.0,0.4,3.0,5.0787e-11
130.0,0.5,2.0,7.192e-10
130.0,0.5,2.5,2.9106000000000003e-10
130.0,0.5,3.0,1.3942999999999998e-10
130.0,0.6,2.0,1.6378e-09
130.0,0.6,2.5,6.586299999999999e-10
130.0,0.6,3.0,3.1427999999999997e-10
